id;date_from;date_to;time_from;time_to;status;type
1;2020-04-22;2020-04-22;2020-04-22T20:08:17;2020-04-22T16:06:01;39114;38730
2;2020-04-23;2020-04-22;2020-04-23T10:18:36;2020-04-23T05:36:41;18415;41571
3;2020-04-23;2020-04-22;2020-04-23T10:36:59;2020-04-23T10:16:49;30692;8742
4;2020-04-23;2020-04-23;2020-04-22T22:34:19;2020-04-23T11:07:05;97193;19934
5;2020-04-23;2020-04-22;2020-04-23T01:49:19;2020-04-23T01:49:30;85204;31148
6;2020-04-23;2020-04-23;2020-04-22T19:53:54;2020-04-23T01:35:55;66075;63172
7;2020-04-23;2020-04-23;2020-04-23T00:29:21;2020-04-23T11:18:06;96850;9899
8;2020-04-23;2020-04-22;2020-04-22T22:11:00;2020-04-23T07:41:33;76113;7467
9;2020-04-22;2020-04-23;2020-04-22T18:01:13;2020-04-22T21:15:23;45704;65797
10;2020-04-23;2020-04-22;2020-04-23T14:10:15;2020-04-23T06:29:16;13331;83490
