id;description;year;type;date_from;date_to
1;Orchestrator;36531;96531;2020-04-23;2020-04-23
2;Ergonomic enhance Car;77779;66664;2020-04-23;2020-04-23
3;THX solution;39113;59354;2020-04-23;2020-04-22
4;Synergized Route Checking Account;19087;60277;2020-04-22;2020-04-22
5;port Granite;22933;37550;2020-04-22;2020-04-23
6;Executive Slovakia (Slovak Republic) Shoes;10328;33364;2020-04-23;2020-04-22
7;Loop Nebraska Libyan Dinar;16110;5700;2020-04-23;2020-04-23
8;Credit Card Account Table Nakfa;1130;9041;2020-04-22;2020-04-22
9;Intelligent Granite Chair connect;51543;21722;2020-04-23;2020-04-23
10;Licensed Granite Chips USB;47834;25957;2020-04-23;2020-04-23
