id;slot_id;desc_en;desc_ar;time_from;time_to;center_id;faclitator_id
1;56282;Technician Mobility;quantifying Sleek Granite Soap;2020-04-22T16:07:36;2020-04-22T18:19:17;94222;73128
2;73413;Auto Loan Account 1080p Buckinghamshire;hybrid;2020-04-22T15:46:29;2020-04-23T11:57:16;75848;96920
3;75781;Berkshire Avon;Small Plains CSS;2020-04-23T01:13:36;2020-04-23T14:07:54;66840;82947
4;47809;Yuan Renminbi Credit Card Account;wireless Incredible Fresh Bike;2020-04-22T22:05:44;2020-04-22T16:08:49;69716;39235
5;87381;National;Kentucky;2020-04-23T09:50:49;2020-04-23T15:06:33;11811;43074
6;33987;invoice;Electronics;2020-04-22T19:49:11;2020-04-23T10:00:38;46746;76792
7;6706;cross-platform panel Tala;supply-chains;2020-04-23T00:12:48;2020-04-23T13:26:12;25128;46808
8;82805;Sausages;optical;2020-04-23T06:47:58;2020-04-23T03:50:34;24995;26834
9;65139;multi-tasking recontextualize;Technician;2020-04-23T13:27:01;2020-04-23T09:49:10;19856;88866
10;64419;Branding invoice;Minnesota;2020-04-23T08:18:17;2020-04-22T19:28:10;17805;82076
